file,sku_main,old_skus,new_skus,passed
output_5287.txt,JNE3880-DR-XXL,['J0157-DR-XXL'],['J0157-DR-XXL'],True
output_5288.txt,J0413-DR-XL,"['J0341-DR-XL', 'J0339-DR-XL', 'J0343-DR-XL']","['J0341-DR-XL', 'J0339-DR-XL', 'J0343-DR-XL']",True
output_5289.txt,JNE3637-KR-XS,"['JNE3820-KR-XS', 'JNE3486-KR-XS', 'JNE3818-KR-XS', 'JNE3724-KR-XS', 'J0151-KR-XS']","['JNE3820-KR-XS', 'JNE3486-KR-XS', 'JNE3818-KR-XS', 'JNE3724-KR-XS', 'J0151-KR-XS']",True
output_529.txt,JNE3440-KR-N-M,['JNE3421-KR-N-M'],['JNE3421-KR-N-M'],True
output_5290.txt,J0136-KR-XXXL,"['JNE3463-KR-XXXL', 'JNE3609-KR-XXXL', 'JNE3811-KR-XXXL', 'JNE3928-KR-XXXL', 'JNE3897-KR-XXXL']","['JNE3463-KR-XXXL', 'JNE3609-KR-XXXL', 'JNE3811-KR-XXXL', 'JNE3928-KR-XXXL', 'JNE3897-KR-XXXL']",True
output_5291.txt,BTM008-L,[],[],True
output_5292.txt,JNE3458-KR-S,"['JNE3451-KR-S', 'JNE3573-KR-S', 'JNE3423-KR-S', 'JNE3789-KR-S', 'JNE3523-KR-S']","['JNE3451-KR-S', 'JNE3573-KR-S', 'JNE3423-KR-S', 'JNE3789-KR-S', 'JNE3523-KR-S']",True
output_5293.txt,SET300-KR-NP-XXL,"['SET348-KR-NP-XXL', 'SET344-KR-NP-XXL', 'SET393-KR-NP-XXL', 'SET338-KR-NP-XXL']","['SET348-KR-NP-XXL', 'SET344-KR-NP-XXL', 'SET393-KR-NP-XXL', 'SET338-KR-NP-XXL']",True
output_5294.txt,JNE3526-KR-XS,"['JNE3416-KR-XS', 'JNE3456-KR-XS', 'JNE3745-KR-XS', 'JNE3424-KR-XS', 'JNE3601-KR-XS']","['JNE3601-KR-XS', 'JNE3745-KR-XS', 'JNE3456-KR-XS', 'JNE3416-KR-XS', 'JNE3424-KR-XS']",True
output_5295.txt,SET221-KR-NP-XL,"['SET218-KR-NP-XL', 'SET384-KR-NP-XL', 'SET253-KR-NP-XL', 'SET288-KR-NP-XL', 'SET375-KR-NP-XL']","['SET218-KR-NP-XL', 'SET384-KR-NP-XL', 'SET253-KR-NP-XL', 'SET288-KR-NP-XL', 'SET375-KR-NP-XL']",True
output_5296.txt,J0385-KR-XXL,['JNE3866-KR-XXL'],['JNE3866-KR-XXL'],True
output_5297.txt,PJNE3364-KR-5XL,[],[],True
output_5298.txt,J0323-CD-XXL,['J0290-CD-XXL'],['J0290-CD-XXL'],True
output_5299.txt,J0102-SKD-XS,"['J0004-SKD-XS', 'J0163-SKD-XS', 'J0162-SKD-XS']","['J0004-SKD-XS', 'J0163-SKD-XS', 'J0162-SKD-XS']",True
output_53.txt,JNE3405-KR-XXL,"['JNE3567-KR-XXL', 'JNE3613-KR-XXL', 'JNE3568-KR-XXL', 'J0139-KR-XXL', 'JNE3777-KR-XXL']","['JNE3567-KR-XXL', 'JNE3613-KR-XXL', 'JNE3568-KR-XXL', 'J0139-KR-XXL', 'JNE3735-KR-XXL']",False
output_530.txt,SET293-KR-NP-XL,"['SET375-KR-NP-XL', 'SET339-KR-NP-XL', 'SET288-KR-NP-XL', 'SET218-KR-NP-XL', 'SET221-KR-NP-XL']","['SET375-KR-NP-XL', 'SET339-KR-NP-XL', 'SET288-KR-NP-XL', 'SET218-KR-NP-XL', 'SET384-KR-NP-XL']",False
output_5300.txt,JNE1951-KR-155-XL,[],[],True
output_5301.txt,SET335-KR-NP-L,"['SET409-KR-NP-L', 'SET297-KR-NP-L', 'SET357-KR-NP-L', 'SET442-KR-NP-L']","['SET409-KR-NP-L', 'SET297-KR-NP-L', 'SET357-KR-NP-L', 'SET442-KR-NP-L']",True
output_5302.txt,SET335-KR-NP-S,"['SET357-KR-NP-S', 'SET141-KR-NP-S']","['SET357-KR-NP-S', 'SET141-KR-NP-S']",True
output_5303.txt,BL109-XL,[],[],True
output_5304.txt,SET152-KR-NP-XS,"['SET159-KR-NP-XS', 'SET078-KR-NP-XS']","['SET159-KR-NP-XS', 'SET078-KR-NP-XS']",True
